item,number_of_test_takers,n1,n0,cross_group_pairs,corresponding_score_levels,mean_positive_rank,somers_dxy,concordance_probability,weight_base_somers_dxy,weight_base_concordance_probability,remapped_concordance,positive_somers_dxy,weight_somers_dxy,weight_concordance_probability,concordance_imputed_for_weight,concordance_weight_source,remapping_validation_status,mann_whitney_u,concordant_pairs,discordant_pairs,tied_cross_pairs,rarity_pair,rarity_m,rarity_proportion,rarity_padded_pair,rarity_padded_m,rarity_padded_proportion,concordance_pair,concordance_m,concordance_proportion,concordance_padded_pair,concordance_padded_m,concordance_padded_proportion,rarity_weight_factor,concordance_weight_factor,raw_item_weight,status,weight_status,small_group_warning,small_group_message,validation_status,bootstrap_reps,bootstrap_valid_reps,bootstrap_dxy_se,bootstrap_dxy_ci_low,bootstrap_dxy_ci_high,bootstrap_C_se,bootstrap_C_ci_low,bootstrap_C_ci_high,bootstrap_remapped_concordance_se,bootstrap_remapped_concordance_ci_low,bootstrap_remapped_concordance_ci_high,bootstrap_raw_weight_se,bootstrap_raw_weight_ci_low,bootstrap_raw_weight_ci_high,permutation_reps,permutation_p_value,score_type,item_weight,weight_scale_divisor,minimum_item_weight,maximum_item_weight,max_total_score,minimum_achievable_total_score,maximum_achievable_total_score,maximum_is_true_maximum,zero_weight_count,negative_weight_count,non_finite_weight_count,scoring_model_status
"pm00fq01",435,142,293,41606,30,301.116197183099,0.567346055857328,0.783673027928664,0.567346055857328,0.783673027928664,0.567346055857328,0.567346055857328,0.567346055857328,0.783673027928664,FALSE,"empirical_Hmisc_somers2_linear_remap_above_0.5","passed",32605.5,31908,8303,1395,"(142,435)",142,0.326436781609195,"(143,436)",143,0.327981651376147,"(246.795534298,435)",246.795534297938,0.567346055857328,"(189.204465702,436)",189.204465702062,0.433955196564363,2.11479761308913,1.83481398393337,3.88026023368483,"ok","ok",FALSE,"","passed_extended_validation",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"item_rest",2.14097710825686,1.81237819812285,1,8.62074010294895,68.9522342511883,0,68.9522342511883,TRUE,0,0,0,"ok"
"pm033q01",435,320,115,36800,30,236.5203125,0.322092391304348,0.661046195652174,0.322092391304348,0.661046195652174,0.322092391304348,0.322092391304348,0.322092391304348,0.661046195652174,FALSE,"empirical_Hmisc_somers2_linear_remap_above_0.5","passed",24326.5,23570,11717,1513,"(320,435)",320,0.735632183908046,"(321,436)",321,0.736238532110092,"(140.110190217,435)",140.110190217391,0.322092391304348,"(295.889809783,436)",295.889809782609,0.678646352712406,1.30620112021902,1.38765512258045,1.81255667559225,"ok","ok",FALSE,"","passed_extended_validation",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"item_rest",1.0000984769457,1.81237819812285,1,8.62074010294895,68.9522342511883,0,68.9522342511883,TRUE,0,0,0,"ok"
"pm034q01t",435,167,268,44756,30,293.473053892216,0.563231745464295,0.781615872732148,0.563231745464295,0.781615872732148,0.563231745464295,0.563231745464295,0.563231745464295,0.781615872732148,FALSE,"empirical_Hmisc_somers2_linear_remap_above_0.5","passed",34982,34254,9046,1456,"(167,435)",167,0.383908045977012,"(168,436)",168,0.385321100917431,"(245.005809277,435)",245.005809276968,0.563231745464295,"(190.994190723,436)",190.994190723032,0.438060070465669,1.95367826394578,1.82539923082761,3.56624280029125,"ok","ok",FALSE,"","passed_extended_validation",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"item_rest",1.96771446709354,1.81237819812285,1,8.62074010294895,68.9522342511883,0,68.9522342511883,TRUE,0,0,0,"ok"
"pm155q01",435,325,110,35750,30,248.78,0.559636363636364,0.779818181818182,0.559636363636364,0.779818181818182,0.559636363636364,0.559636363636364,0.559636363636364,0.779818181818182,FALSE,"empirical_Hmisc_somers2_linear_remap_above_0.5","passed",27878.5,27216,7209,1325,"(325,435)",325,0.747126436781609,"(326,436)",326,0.747706422018349,"(243.441818182,435)",243.441818181818,0.559636363636364,"(192.558181818,436)",192.558181818182,0.441647206005004,1.29074486198233,1.81724389207614,2.34559821666604,"ok","ok",FALSE,"","passed_extended_validation",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"item_rest",1.2942101262835,1.81237819812285,1,8.62074010294895,68.9522342511883,0,68.9522342511883,TRUE,0,0,0,"ok"
"pm155q04t",435,266,169,44954,30,249.355263157895,0.371068203052009,0.685534101526004,0.371068203052009,0.685534101526004,0.371068203052009,0.371068203052009,0.371068203052009,0.685534101526004,FALSE,"empirical_Hmisc_somers2_linear_remap_above_0.5","passed",30817.5,29934,13253,1767,"(266,435)",266,0.611494252873563,"(267,436)",267,0.612385321100918,"(161.414668328,435)",161.414668327624,0.371068203052009,"(274.585331672,436)",274.585331672376,0.629782870808202,1.49039358494878,1.46238016851264,2.17952202190756,"ok","ok",FALSE,"","passed_extended_validation",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"item_rest",1.20257572297271,1.81237819812285,1,8.62074010294895,68.9522342511883,0,68.9522342511883,TRUE,0,0,0,"ok"
"pm192q01t",435,163,272,44336,30,298.17791411043,0.589543486106099,0.79477174305305,0.589543486106099,0.79477174305305,0.589543486106099,0.589543486106099,0.589543486106099,0.79477174305305,FALSE,"empirical_Hmisc_somers2_linear_remap_above_0.5","passed",35237,34585,8447,1304,"(163,435)",163,0.374712643678161,"(164,436)",164,0.376146788990826,"(256.451416456,435)",256.451416456153,0.589543486106099,"(179.548583544,436)",179.548583543847,0.41180867785286,1.97777581552484,1.88719641163122,3.73245142206948,"ok","ok",FALSE,"","passed_extended_validation",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"item_rest",2.05942193849789,1.81237819812285,1,8.62074010294895,68.9522342511883,0,68.9522342511883,TRUE,0,0,0,"ok"
"pm305q01",435,213,222,47286,31,251,0.297297297297297,0.648648648648649,0.297297297297297,0.648648648648649,0.297297297297297,0.297297297297297,0.297297297297297,0.648648648648649,FALSE,"empirical_Hmisc_somers2_linear_remap_above_0.5","passed",30672,29754,15696,1836,"(213,435)",213,0.489655172413793,"(214,436)",214,0.490825688073395,"(129.324324324,435)",129.324324324324,0.297297297297297,"(306.675675676,436)",306.675675675676,0.703384577237788,1.71166622832718,1.35185148520227,2.31391853293467,"ok","ok",FALSE,"","passed_extended_validation",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"item_rest",1.27673050543826,1.81237819812285,1,8.62074010294895,68.9522342511883,0,68.9522342511883,TRUE,0,0,0,"ok"
"pm406q01",435,84,351,29484,30,324.60119047619,0.607414190747524,0.803707095373762,0.607414190747524,0.803707095373762,0.607414190747524,0.607414190747524,0.607414190747524,0.803707095373762,FALSE,"empirical_Hmisc_somers2_linear_remap_above_0.5","passed",23696.5,23301,5392,791,"(84,435)",84,0.193103448275862,"(85,436)",85,0.194954128440367,"(264.225172975,435)",264.225172975173,0.607414190747524,"(171.774827025,436)",171.774827024827,0.393978961066117,2.63499098685872,1.93145776941929,5.08937381391808,"ok","ok",FALSE,"","passed_extended_validation",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"item_rest",2.80811908860377,1.81237819812285,1,8.62074010294895,68.9522342511883,0,68.9522342511883,TRUE,0,0,0,"ok"
"pm406q02",435,41,394,16154,30,375.365853658537,0.798811439891049,0.899405719945524,0.798811439891049,0.899405719945524,0.798811439891049,0.798811439891049,0.798811439891049,0.899405719945524,FALSE,"empirical_Hmisc_somers2_linear_remap_above_0.5","passed",14529,14371,1467,316,"(41,435)",41,0.0942528735632184,"(42,436)",42,0.0963302752293578,"(347.482976353,435)",347.482976352606,0.798811439891049,"(88.5170236474,436)",88.5170236473939,0.203020696438977,3.33997262506567,2.59444735223583,8.66538313364177,"ok","ok",FALSE,"","passed_extended_validation",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"item_rest",4.7812223423438,1.81237819812285,1,8.62074010294895,68.9522342511883,0,68.9522342511883,TRUE,0,0,0,"ok"
"pm411q01",435,222,213,47286,30,289.024774774775,0.666899293659857,0.833449646829928,0.666899293659857,0.833449646829928,0.666899293659857,0.666899293659857,0.666899293659857,0.833449646829928,FALSE,"empirical_Hmisc_somers2_linear_remap_above_0.5","passed",39410.5,38666,7131,1489,"(222,435)",222,0.510344827586207,"(223,436)",223,0.511467889908257,"(290.101192742,435)",290.101192742038,0.666899293659857,"(145.898807258,436)",145.898807257962,0.33463029187606,1.67047047188892,2.09472896291908,3.49918287916682,"ok","ok",FALSE,"","passed_extended_validation",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"item_rest",1.93071340341164,1.81237819812285,1,8.62074010294895,68.9522342511883,0,68.9522342511883,TRUE,0,0,0,"ok"
