"replicate","weighted_half_r","raw_half_r","weighted_spearman_brown","raw_spearman_brown","corrected_difference"
1,0.626044535564004,0.623816097818874,0.770021388555457,0.768333432162411,0.00168795639304598
2,0.624621147942989,0.625982841666973,0.768943761114832,0.769974720059419,-0.00103095894458682
3,0.621028005999116,0.616231041061723,0.766215023677333,0.762553156579535,0.00366186709779759
4,0.647642991443203,0.642077664208327,0.786144807833547,0.782030811579041,0.0041139962545057
5,0.627323001891577,0.632352698488184,0.770987691026779,0.774774592615729,-0.00378690158894934
6,0.643711331354006,0.642160061103069,0.78324133815364,0.782091924305744,0.00114941384789546
7,0.646512636761991,0.653734143190786,0.785311478730481,0.790615766001473,-0.00530428727099164
8,0.671588632114953,0.669327812103563,0.80353338041697,0.801912970299256,0.00162041011771408
9,0.661421514907139,0.661282288425022,0.796211568193286,0.796110682732855,0.000100885460430744
10,0.680388280992706,0.678114243486011,0.809798888374489,0.808186029191122,0.00161285918336762
11,0.625984046737543,0.613785629545361,0.769975631671848,0.760678021055718,0.00929761061612933
12,0.623235316170405,0.623651696044785,0.767892750929993,0.76820872058213,-0.00031596965213665
13,0.670290117767368,0.671252391064458,0.802603225196982,0.803292662022069,-0.000689436825086598
14,0.644008384080028,0.647632087940558,0.783461191945696,0.786136774927781,-0.00267558298208481
15,0.657221240476094,0.65740735877556,0.793160532129415,0.793296053978222,-0.000135521848807385
16,0.643229525844099,0.637604014257526,0.782884576655453,0.778703531142246,0.0041810455132073
17,0.702843950652114,0.696327176551142,0.825494256690938,0.820982162140286,0.00451209455065205
18,0.616870059013667,0.614432199082745,0.763042219224436,0.761174361403149,0.00186785782128707
19,0.597753106327678,0.602592514683856,0.748242145748752,0.752022125602814,-0.00377997985406187
20,0.639550437082504,0.640450487648292,0.78015341598219,0.7808226977535,-0.000669281771310759
21,0.651044757943221,0.644340603915615,0.788645801164417,0.78370697941931,0.00493882174510696
22,0.642398804728526,0.639283062461879,0.782268962786671,0.779954453383789,0.00231450940288225
23,0.668094672247628,0.66612787479282,0.801027283838059,0.799611944402109,0.00141533943595062
24,0.64582824403498,0.645232537155701,0.784806368921754,0.784366370812465,0.000439998109288853
25,0.637636810763134,0.630937216904737,0.778727989713418,0.773711226115934,0.00501676359748315
26,0.652455156251867,0.655164903956623,0.789679712376316,0.791661184200403,-0.00198147182408659
27,0.634503607750232,0.640487390826252,0.776386916176438,0.780850123454667,-0.00446320727822946
28,0.672008804576697,0.669326256140656,0.803834050080651,0.801911853573888,0.00192219650676273
29,0.663195145553793,0.652953891557427,0.797495287701756,0.790044894648826,0.00745039305293049
30,0.64255087340259,0.639814063681021,0.782381701300402,0.780349526024651,0.00203217527575117
31,0.621597684975811,0.624447352705674,0.766648461248985,0.768812053730884,-0.00216359248189901
32,0.654052515549437,0.654375817190952,0.790848548520452,0.791084843469302,-0.000236294948850579
33,0.672863368350499,0.662945051217916,0.804445098243696,0.797314440104181,0.00713065813951508
34,0.644469397470105,0.638521128175399,0.783802238535511,0.779387115851761,0.00441512268374955
35,0.654159060126166,0.653629545441797,0.790926430105545,0.790539268294421,0.000387161811124193
36,0.653789011267898,0.656682265481711,0.790655889975544,0.792767906271717,-0.00211201629617297
37,0.644139502502257,0.646138329507032,0.783558209655476,0.785035276713993,-0.00147706705851713
38,0.651733926077451,0.652131761853451,0.789151225615609,0.789442799794436,-0.000291574178827303
39,0.662284723745621,0.658667542041822,0.796836684215321,0.794212855013731,0.00262382920158999
40,0.627073682893877,0.627704477422674,0.770799367584359,0.771275727417779,-0.000476359833420315
41,0.654952213373567,0.651763317146091,0.791505891325367,0.789172771159738,0.00233312016562837
42,0.640374670449579,0.643829562891753,0.780766348061289,0.783328852851577,-0.00256250479028786
43,0.629964440296026,0.633703408491251,0.772979366570249,0.775787582002397,-0.00280821543214782
44,0.67739747588279,0.670888498903717,0.807676755953488,0.803032038755299,0.00464471719818826
45,0.632835443588849,0.628667847822619,0.775136828482758,0.772002527910268,0.00313430057249009
46,0.692793676544413,0.689129305775917,0.818521106433536,0.815958024550831,0.00256308188270438
47,0.640467909446217,0.639520281256363,0.780835645437799,0.780130979247538,0.000704666190261216
48,0.623961370317159,0.622416037450294,0.768443611679383,0.76727056819341,0.00117304348597302
49,0.634850622564873,0.633578627456437,0.776646641353536,0.775694070438409,0.000952570915126683
50,0.667221870921544,0.6695534062857,0.800399613943094,0.802074858779478,-0.0016752448363837
51,0.633001585029923,0.638154505470555,0.775261445956678,0.779113939911604,-0.00385249395492626
52,0.651499244822134,0.653837049897822,0.78897916164933,0.790691017519794,-0.0017118558704643
53,0.653394147638104,0.64983584896772,0.79036707438633,0.787758187427329,0.00260888695900041
54,0.6623344845714,0.661647249436132,0.796872700071754,0.796375102670747,0.000497597401007521
55,0.64969295616579,0.64703662813976,0.787653185688328,0.785697922055994,0.00195526363233389
56,0.628568234860713,0.632080976275626,0.771927416249123,0.774570607051644,-0.00264319080252107
57,0.668177059837669,0.668618662187467,0.80108649845921,0.801403792656789,-0.000317294197579421
58,0.632685242309239,0.625781590126657,0.775024145394223,0.769822458228114,0.00520168716610947
59,0.645792064771509,0.643277592479068,0.784779655455644,0.782920177848481,0.0018594776071631
60,0.643560680744402,0.63900435709615,0.78312980869428,0.779746990091331,0.0033828186029492
61,0.659122480871789,0.657943618586202,0.794543487260147,0.793686360875478,0.000857126384669393
62,0.667012118158443,0.669535455500378,0.800248673531293,0.802061978731336,-0.00181330520004319
63,0.651524174869845,0.65048180639012,0.788997442221748,0.788232628644156,0.000764813577591617
64,0.642632059325608,0.644945025822329,0.782441881220125,0.784153896571605,-0.00171201535147991
65,0.65804946754825,0.654054253177584,0.793763371271793,0.790849818766329,0.00291355250546388
66,0.656766737761727,0.656382167660074,0.792829458477675,0.792549183969213,0.00028027450846202
67,0.644500310516853,0.643400380375098,0.783825100421285,0.78301111288321,0.000813987538075156
68,0.646475480355362,0.648399275974656,0.785284066563605,0.786701723817822,-0.00141765725421683
69,0.624765201863106,0.619905014397473,0.76905290825615,0.765359707992567,0.00369320026358255
70,0.643490940527947,0.646679125129225,0.783078171786253,0.785434290458351,-0.00235611867209762
71,0.636436718785598,0.632456672504342,0.777832361593424,0.774852629361482,0.00297973223194248
72,0.651182339724631,0.648692802014623,0.788746735061652,0.786917734124819,0.00182900093683336
73,0.642653115773821,0.635025068149224,0.782457488562434,0.776777164484755,0.00568032407767893
74,0.662221018993128,0.653763395696797,0.796790572885742,0.790637158130278,0.00615341475546338
75,0.619589300490117,0.612177802039484,0.765119033945974,0.759442043259805,0.00567699068616823
76,0.658467842917139,0.659078857404107,0.794067663993938,0.794511791242208,-0.000444127248270254
77,0.646726422188113,0.643159562656467,0.785469175054306,0.782832753766996,0.00263642128731001
78,0.68281446947346,0.683050084848134,0.811514854263296,0.811681233966091,-0.000166379702795316
79,0.640760907852068,0.636162960899126,0.781053357360754,0.777627872164437,0.00342548519631747
80,0.638354708057557,0.628543892344871,0.779263128940367,0.771909059742759,0.00735406919760839
81,0.617202272008665,0.623371638800438,0.763296320678627,0.767996217133702,-0.00469989645507585
82,0.629470515583001,0.624280389350474,0.772607432369264,0.768685497212848,0.00392193515641526
83,0.618602193490138,0.621533248627613,0.764365939917907,0.766599450432051,-0.00223351051414367
84,0.648263753674563,0.649806253372853,0.786601964921395,0.787736441226833,-0.00113447630543773
85,0.659100361387672,0.659447207485722,0.794527415853735,0.794779375337731,-0.000251959483996367
86,0.668561671020897,0.665224764960314,0.80136285356698,0.798960931830927,0.00240192173605325
87,0.628579809409695,0.629465078984758,0.771936144336131,0.77260333725832,-0.000667192922189308
88,0.640696743283822,0.63730628571328,0.781005686646857,0.77848145001855,0.00252423662830781
89,0.65049116513341,0.651466205896292,0.788239499701691,0.788954934191615,-0.000715434489923727
90,0.657236920935571,0.655563737794656,0.793171951014145,0.791952279249508,0.00121967176463766
91,0.619070401030712,0.619484288121364,0.764723264209644,0.765038960445833,-0.000315696236189211
92,0.644045424223561,0.647150637564327,0.78348860041714,0.785781971370003,-0.00229337095286275
93,0.646588557754561,0.638885565140317,0.785367485653257,0.779658542035688,0.00570894361756846
94,0.650894724418249,0.646564757676383,0.788535713138965,0.785349928889295,0.00318578424966964
95,0.654406567186391,0.654347145022814,0.791107313239604,0.791063891265446,4.34219741580755e-05
96,0.637101210107561,0.641278296067058,0.778328433421294,0.781437611895231,-0.00310917847393732
97,0.663568768603963,0.661211354051146,0.797765359782293,0.796059276188632,0.00170608359366087
98,0.62136673053308,0.622485590877408,0.766472777357143,0.767323413381786,-0.000850636024643303
99,0.650189921146423,0.647444503985883,0.788018291488197,0.785998560096481,0.00201973139171552
100,0.648664990600289,0.645281274310085,0.786897270577822,0.784402380779141,0.00249488979868107
